,0,1,2
0,0,0,0
1,1,0,0
2,0,0,1
3,0,1,0
4,0,1,1
5,1,0,1
6,1,1,0
7,0,2,0
8,2,0,0
9,0,0,2
10,1,1,1
11,2,0,1
12,2,1,0
13,0,1,2
14,1,2,0
15,0,2,1
16,1,0,2
17,0,0,3
18,0,3,0
19,3,0,0
20,1,1,2
21,1,2,1
22,2,1,1
23,2,2,0
24,0,2,2
25,2,0,2
26,3,0,1
27,1,0,3
28,0,3,1
29,0,1,3
30,1,3,0
31,3,1,0
32,1,2,2
33,2,2,1
34,2,1,2
35,0,0,4
36,0,4,0
37,4,0,0
38,1,3,1
39,3,1,1
40,1,1,3
41,0,2,3
42,3,2,0
43,2,0,3
44,2,3,0
45,3,0,2
46,0,3,2
47,4,0,1
48,4,1,0
49,1,0,4
50,1,4,0
51,0,4,1
52,0,1,4
53,2,2,2
54,3,2,1
55,2,1,3
56,1,2,3
57,2,3,1
58,3,1,2
59,1,3,2
60,1,1,4
61,1,4,1
62,4,1,1
63,5,0,0
64,0,5,0
65,0,0,5
66,0,3,3
67,3,0,3
68,3,3,0
69,2,4,0
70,4,2,0
71,0,2,4
72,2,0,4
73,0,4,2
74,4,0,2
75,0,5,1
76,5,1,0
77,0,1,5
78,1,5,0
79,5,0,1
80,1,0,5
81,2,2,3
82,2,3,2
83,3,2,2
84,3,3,1
85,1,3,3
86,3,1,3
87,4,1,2
88,2,1,4
89,1,4,2
90,4,2,1
91,1,2,4
92,2,4,1
93,5,1,1
94,1,1,5
95,1,5,1
96,0,0,6
97,0,6,0
98,6,0,0
99,4,0,3
100,0,4,3
101,4,3,0
102,3,4,0
103,3,0,4
104,0,3,4
105,0,2,5
106,2,0,5
107,0,5,2
108,5,0,2
109,2,5,0
110,5,2,0
111,3,2,3
112,2,3,3
113,3,3,2
114,2,4,2
115,2,2,4
116,4,2,2
117,6,0,1
118,1,6,0
119,1,0,6
120,0,6,1
121,0,1,6
122,6,1,0
123,3,1,4
124,4,1,3
125,4,3,1
126,1,3,4
127,1,4,3
128,3,4,1
129,2,5,1
130,2,1,5
131,5,1,2
132,1,2,5
133,1,5,2
134,5,2,1
135,1,1,6
136,6,1,1
137,1,6,1
138,0,0,7
139,7,0,0
140,0,7,0
141,4,4,0
142,4,0,4
143,0,4,4
144,5,3,0
145,0,3,5
146,3,5,0
147,5,0,3
148,0,5,3
149,3,0,5
150,0,6,2
151,2,0,6
152,0,2,6
153,6,0,2
154,2,6,0
155,6,2,0
156,3,3,3
157,4,2,3
158,3,2,4
159,2,3,4
160,2,4,3
161,3,4,2
162,4,3,2
163,2,2,5
164,2,5,2
165,5,2,2
166,1,7,0
167,7,1,0
168,1,0,7
169,7,0,1
170,0,1,7
171,0,7,1
172,4,4,1
173,1,4,4
174,4,1,4
175,1,3,5
176,5,1,3
177,3,5,1
178,1,5,3
179,5,3,1
180,3,1,5
181,1,2,6
182,2,1,6
183,1,6,2
184,6,1,2
185,2,6,1
186,6,2,1
187,1,1,7
188,7,1,1
189,1,7,1
190,0,0,8
191,0,8,0
192,8,0,0
193,5,0,4
194,0,5,4
195,5,4,0
196,0,4,5
197,4,0,5
198,4,5,0
199,3,0,6
200,6,0,3
201,6,3,0
202,3,6,0
203,0,6,3
204,0,3,6
205,3,4,3
206,4,3,3
207,3,3,4
208,0,2,7
209,2,0,7
210,7,2,0
211,2,7,0
212,0,7,2
213,7,0,2
214,4,2,4
215,2,4,4
216,4,4,2
217,5,3,2
218,2,3,5
219,3,2,5
220,3,5,2
221,2,5,3
222,5,2,3
223,2,2,6
224,2,6,2
225,6,2,2
226,8,0,1
227,8,1,0
228,0,8,1
229,1,0,8
230,1,8,0
231,0,1,8
232,1,5,4
233,5,1,4
234,5,4,1
235,4,1,5
236,1,4,5
237,4,5,1
238,1,6,3
239,3,6,1
240,1,3,6
241,6,3,1
242,6,1,3
243,3,1,6
244,1,2,7
245,2,1,7
246,2,7,1
247,1,7,2
248,7,1,2
249,7,2,1
250,1,1,8
251,1,8,1
252,8,1,1
253,0,5,5
254,5,0,5
255,5,5,0
256,4,6,0
257,6,0,4
258,4,0,6
259,6,4,0
260,0,6,4
261,0,4,6
262,3,7,0
263,7,3,0
264,0,7,3
265,7,0,3
266,0,3,7
267,3,0,7
268,4,4,3
269,4,3,4
270,3,4,4
271,3,5,3
272,3,3,5
273,5,3,3
274,2,0,8
275,0,2,8
276,2,8,0
277,8,2,0
278,0,8,2
279,8,0,2
280,4,2,5
281,4,5,2
282,5,4,2
283,2,4,5
284,5,2,4
285,2,5,4
286,2,3,6
287,3,2,6
288,6,3,2
289,2,6,3
290,3,6,2
291,6,2,3
292,2,2,7
293,7,2,2
294,2,7,2
295,5,1,5
296,5,5,1
297,1,5,5
298,6,1,4
299,4,6,1
300,1,4,6
301,4,1,6
302,1,6,4
303,6,4,1
304,3,1,7
305,3,7,1
306,7,3,1
307,1,3,7
308,7,1,3
309,1,7,3
310,1,2,8
311,2,1,8
312,8,1,2
313,1,8,2
314,2,8,1
315,8,2,1
316,0,5,6
317,5,6,0
318,5,0,6
319,6,5,0
320,6,0,5
321,0,6,5
322,7,4,0
323,4,7,0
324,4,0,7
325,7,0,4
326,0,4,7
327,0,7,4
328,4,4,4
329,3,0,8
330,8,3,0
331,0,8,3
332,0,3,8
333,3,8,0
334,8,0,3
335,5,3,4
336,3,4,5
337,4,3,5
338,3,5,4
339,4,5,3
340,5,4,3
