,0,1,2
0,0,0,0
1,0,-1,0
2,0,0,-1
3,-1,0,0
4,0,-1,-1
5,-1,-1,0
6,-1,0,-1
7,-1,-1,-1
8,1,0,0
9,0,0,1
10,0,1,0
11,1,-1,0
12,-1,1,0
13,1,0,-1
14,-1,0,1
15,0,1,-1
16,0,-1,1
17,1,-1,-1
18,-1,1,-1
19,-1,-1,1
20,0,1,1
21,1,0,1
22,1,1,0
23,-1,1,1
24,1,-1,1
25,1,1,-1
26,0,0,-2
27,0,-2,0
28,-2,0,0
29,-2,-1,0
30,-2,0,-1
31,0,-1,-2
32,0,-2,-1
33,-1,-2,0
34,-1,0,-2
35,-1,-1,-2
36,-1,-2,-1
37,-2,-1,-1
38,0,2,0
39,2,0,0
40,0,0,2
41,-1,2,0
42,-1,0,2
43,2,0,-1
44,2,-1,0
45,0,2,-1
46,0,-1,2
47,2,-1,-1
48,-1,-1,2
49,-1,2,-1
50,1,1,1
51,1,0,-2
52,-2,0,1
53,0,1,-2
54,1,-2,0
55,-2,1,0
56,0,-2,1
57,-2,-1,1
58,1,-1,-2
59,1,-2,-1
60,-2,1,-1
61,-1,-2,1
62,-1,1,-2
63,2,0,1
64,2,1,0
65,0,1,2
66,1,2,0
67,0,2,1
68,1,0,2
69,-1,1,2
70,-1,2,1
71,2,1,-1
72,2,-1,1
73,1,-1,2
74,1,2,-1
75,1,1,-2
76,-2,1,1
77,1,-2,1
78,-2,-2,0
79,0,-2,-2
80,-2,0,-2
81,0,0,3
82,0,3,0
83,3,0,0
84,-2,-2,-1
85,-2,-1,-2
86,-1,-2,-2
87,0,-1,3
88,0,3,-1
89,3,-1,0
90,-1,0,3
91,3,0,-1
92,-1,3,0
93,-1,3,-1
94,3,-1,-1
95,-1,-1,3
96,1,1,2
97,1,2,1
98,2,1,1
99,-2,0,2
100,0,2,-2
101,-2,2,0
102,0,-2,2
103,2,-2,0
104,2,0,-2
105,2,-2,-1
106,-2,2,-1
107,2,-1,-2
108,-1,-2,2
109,-2,-1,2
110,-1,2,-2
111,2,2,0
112,0,2,2
113,2,0,2
114,2,2,-1
115,2,-1,2
116,-1,2,2
117,1,-2,-2
118,-2,1,-2
119,-2,-2,1
120,3,0,1
121,1,0,3
122,0,3,1
123,0,1,3
124,1,3,0
125,3,1,0
126,-1,1,3
127,1,-1,3
128,3,-1,1
129,-1,3,1
130,3,1,-1
131,1,3,-1
132,1,2,-2
133,-2,2,1
134,2,-2,1
135,2,1,-2
136,1,-2,2
137,-2,1,2
138,1,2,2
139,2,2,1
140,2,1,2
141,0,0,4
142,0,4,0
143,4,0,0
144,1,3,1
145,3,1,1
146,1,1,3
147,-1,4,0
148,4,-1,0
149,0,4,-1
150,-1,0,4
151,4,0,-1
152,0,-1,4
153,-1,4,-1
154,4,-1,-1
155,-1,-1,4
156,-2,-2,-2
157,0,3,-2
158,3,-2,0
159,3,0,-2
160,-2,3,0
161,-2,0,3
162,0,-2,3
163,3,-2,-1
164,-2,3,-1
165,-2,-1,3
166,3,-1,-2
167,-1,-2,3
168,-1,3,-2
169,-2,-2,2
170,-2,2,-2
171,2,-2,-2
172,0,2,3
173,3,2,0
174,2,0,3
175,2,3,0
176,3,0,2
177,0,3,2
178,-1,2,3
179,3,-1,2
180,3,2,-1
181,-1,3,2
182,2,3,-1
183,2,-1,3
184,2,2,-2
185,-2,2,2
186,2,-2,2
187,4,0,1
188,4,1,0
189,1,0,4
190,1,4,0
191,0,4,1
192,0,1,4
193,4,-1,1
194,-1,1,4
195,1,4,-1
196,-1,4,1
197,4,1,-1
198,1,-1,4
199,1,-2,3
200,3,-2,1
201,-2,3,1
202,-2,1,3
203,3,1,-2
204,1,3,-2
205,2,2,2
206,0,0,-3
207,0,-3,0
208,-3,0,0
209,3,2,1
210,2,1,3
211,1,2,3
212,2,3,1
213,3,1,2
214,1,3,2
215,-3,0,-1
216,0,-3,-1
217,-1,-3,0
218,-1,0,-3
219,-3,-1,0
220,0,-1,-3
221,-1,-3,-1
222,-3,-1,-1
223,-1,-1,-3
224,1,1,4
225,1,4,1
226,4,1,1
227,5,0,0
228,0,5,0
229,0,0,5
230,-1,5,0
231,0,5,-1
232,5,0,-1
233,5,-1,0
234,0,-1,5
235,-1,0,5
236,0,-2,4
237,4,-2,0
238,0,4,-2
239,-2,0,4
240,-2,4,0
241,4,0,-2
242,5,-1,-1
243,-1,5,-1
244,-1,-1,5
245,4,-2,-1
246,-2,4,-1
247,-1,4,-2
248,-2,-1,4
249,4,-1,-2
250,-1,-2,4
251,3,-2,-2
252,-2,3,-2
253,-2,-2,3
254,0,3,3
255,3,0,3
256,3,3,0
257,3,3,-1
258,3,-1,3
259,-1,3,3
260,1,-3,0
261,-3,1,0
262,-3,0,1
263,0,1,-3
264,0,-3,1
265,1,0,-3
266,2,4,0
267,4,2,0
268,0,2,4
269,2,0,4
270,0,4,2
271,4,0,2
272,1,-3,-1
273,-3,1,-1
274,-1,1,-3
275,-1,-3,1
276,-3,-1,1
277,1,-1,-3
278,4,2,-1
279,2,4,-1
280,-1,4,2
281,4,-1,2
282,2,-1,4
283,-1,2,4
284,-2,3,2
285,2,-2,3
286,3,2,-2
287,3,-2,2
288,-2,2,3
289,2,3,-2
290,0,5,1
291,5,1,0
292,0,1,5
293,1,5,0
294,5,0,1
295,1,0,5
296,2,2,3
297,2,3,2
298,3,2,2
299,5,1,-1
300,5,-1,1
301,-1,1,5
302,1,-1,5
303,-1,5,1
304,1,5,-1
305,-2,1,4
306,1,4,-2
307,1,-2,4
308,4,-2,1
309,-2,4,1
310,4,1,-2
311,3,3,1
312,1,3,3
313,3,1,3
314,1,-3,1
315,-3,1,1
316,1,1,-3
317,4,1,2
318,2,1,4
319,1,4,2
320,4,2,1
321,1,2,4
322,2,4,1
323,-2,0,-3
324,-2,-3,0
325,0,-2,-3
326,0,-3,-2
327,-3,0,-2
328,-3,-2,0
329,-3,-1,-2
330,-1,-3,-2
331,-2,-3,-1
332,-3,-2,-1
333,-1,-2,-3
334,-2,-1,-3
335,5,1,1
336,1,1,5
337,1,5,1
338,-3,0,2
339,2,0,-3
340,-3,2,0
341,2,-3,0
342,0,-3,2
343,0,2,-3
344,0,0,6
345,0,6,0
346,6,0,0
347,-1,-3,2
348,2,-3,-1
349,-3,-1,2
350,-1,2,-3
351,2,-1,-3
352,-3,2,-1
353,0,-1,6
354,-1,0,6
355,6,-1,0
356,6,0,-1
357,-1,6,0
358,0,6,-1
359,0,5,-2
360,-2,5,0
361,5,-2,0
362,5,0,-2
363,0,-2,5
364,-2,0,5
365,-1,6,-1
366,-1,-1,6
367,6,-1,-1
368,5,-2,-1
369,-1,5,-2
370,-2,5,-1
371,5,-1,-2
372,-2,-1,5
373,-1,-2,5
374,-2,4,-2
375,4,-2,-2
376,-2,-2,4
377,4,0,3
378,0,4,3
379,4,3,0
380,3,4,0
381,3,0,4
382,0,3,4
383,4,3,-1
384,3,-1,4
385,-1,3,4
386,3,4,-1
387,4,-1,3
388,-1,4,3
389,3,-2,3
390,-2,3,3
391,3,3,-2
392,0,2,5
393,2,0,5
394,0,5,2
395,5,0,2
396,2,5,0
397,5,2,0
398,-1,2,5
399,5,2,-1
400,-1,5,2
401,2,5,-1
402,2,-1,5
403,5,-1,2
404,-3,1,-2
405,1,-3,-2
406,-2,1,-3
407,1,-2,-3
408,-2,-3,1
409,-3,-2,1
410,-2,4,2
411,2,4,-2
412,-2,2,4
413,4,2,-2
414,4,-2,2
415,2,-2,4
416,3,2,3
417,2,3,3
418,3,3,2
419,2,1,-3
420,1,-3,2
421,-3,2,1
422,-3,1,2
423,2,-3,1
424,1,2,-3
425,2,4,2
426,2,2,4
427,4,2,2
428,6,0,1
429,1,6,0
430,1,0,6
431,0,6,1
432,0,1,6
433,6,1,0
434,-1,6,1
435,1,-1,6
436,-1,1,6
437,1,6,-1
438,6,-1,1
439,6,1,-1
440,-2,5,1
441,5,1,-2
442,1,-2,5
443,1,5,-2
444,5,-2,1
445,-2,1,5
446,3,1,4
447,4,1,3
448,4,3,1
449,1,3,4
450,1,4,3
451,3,4,1
452,2,5,1
453,2,1,5
454,5,1,2
455,1,2,5
456,1,5,2
457,5,2,1
458,-2,-2,-3
459,-2,-3,-2
460,-3,-2,-2
461,-3,0,3
462,-3,3,0
463,3,-3,0
464,0,-3,3
465,3,0,-3
466,0,3,-3
467,3,-1,-3
468,-1,-3,3
469,-3,3,-1
470,-3,-1,3
471,-1,3,-3
472,3,-3,-1
473,1,1,6
474,6,1,1
475,1,6,1
476,0,0,7
477,7,0,0
478,0,7,0
479,-2,-3,2
480,-3,-2,2
481,-2,2,-3
482,2,-2,-3
483,2,-3,-2
484,-3,2,-2
485,0,6,-2
486,6,0,-2
487,-2,6,0
488,6,-2,0
489,0,-2,6
490,-2,0,6
491,7,-1,0
492,-1,7,0
493,-1,0,7
494,0,-1,7
495,7,0,-1
496,0,7,-1
497,4,4,0
498,4,0,4
499,0,4,4
500,6,-2,-1
501,-2,6,-1
502,6,-1,-2
503,-1,-2,6
504,-1,6,-2
505,-2,-1,6
506,7,-1,-1
507,-1,-1,7
508,-1,7,-1
509,5,-2,-2
510,-2,5,-2
511,-2,-2,5
512,5,3,0
513,0,3,5
514,3,5,0
515,5,0,3
516,0,5,3
517,3,0,5
518,4,4,-1
519,4,-1,4
520,-1,4,4
521,5,-1,3
522,5,3,-1
523,-1,3,5
524,3,-1,5
525,-1,5,3
526,3,5,-1
527,4,3,-2
528,-2,3,4
529,-2,4,3
530,3,-2,4
531,3,4,-2
532,4,-2,3
533,2,2,-3
534,-3,2,2
535,2,-3,2
536,0,6,2
537,2,0,6
538,0,2,6
539,6,0,2
540,2,6,0
541,6,2,0
542,6,2,-1
543,2,-1,6
544,-1,6,2
545,2,6,-1
546,-1,2,6
547,6,-1,2
548,5,-2,2
549,-2,2,5
550,-2,5,2
551,2,-2,5
552,5,2,-2
553,2,5,-2
554,3,3,3
555,3,-3,1
556,3,1,-3
557,1,-3,3
558,-3,1,3
559,-3,3,1
560,1,3,-3
561,4,2,3
562,3,2,4
563,2,3,4
564,2,4,3
565,3,4,2
566,4,3,2
567,2,2,5
568,2,5,2
569,5,2,2
570,1,7,0
571,7,1,0
572,1,0,7
573,7,0,1
574,0,1,7
575,0,7,1
576,-2,6,1
577,6,-2,1
578,1,6,-2
579,-2,1,6
580,1,-2,6
581,6,1,-2
582,7,-1,1
583,1,7,-1
584,-1,1,7
585,7,1,-1
586,1,-1,7
587,-1,7,1
588,4,4,1
589,1,4,4
590,4,1,4
591,1,3,5
592,5,1,3
593,3,5,1
594,1,5,3
595,5,3,1
596,3,1,5
597,1,2,6
598,2,1,6
599,1,6,2
600,6,1,2
601,2,6,1
602,6,2,1
603,4,-3,0
604,-3,4,0
605,0,4,-3
606,0,-3,4
607,4,0,-3
608,-3,0,4
609,4,-3,-1
610,-1,-3,4
611,-3,4,-1
612,4,-1,-3
613,-1,4,-3
614,-3,-1,4
615,3,-3,-2
616,-3,-2,3
617,-2,3,-3
618,-2,-3,3
619,3,-2,-3
620,-3,3,-2
621,1,1,7
622,7,1,1
623,1,7,1
624,0,0,8
625,0,8,0
626,8,0,0
627,5,0,4
628,0,5,4
629,5,4,0
630,0,4,5
631,4,0,5
632,4,5,0
633,7,-2,0
634,-2,7,0
635,-2,0,7
636,0,7,-2
637,0,-2,7
638,7,0,-2
639,0,8,-1
640,0,-1,8
641,8,-1,0
642,-1,8,0
643,-1,0,8
644,8,0,-1
645,3,2,-3
646,2,3,-3
647,2,-3,3
648,3,-3,2
649,-3,3,2
650,-3,2,3
651,5,-1,4
652,-1,5,4
653,5,4,-1
654,4,-1,5
655,-1,4,5
656,4,5,-1
657,-2,-2,6
658,6,-2,-2
659,-2,6,-2
660,-2,7,-1
661,-2,-1,7
662,7,-2,-1
663,-1,-2,7
664,-1,7,-2
665,7,-1,-2
666,-1,8,-1
667,-1,-1,8
668,8,-1,-1
669,3,0,6
670,6,0,3
671,6,3,0
672,3,6,0
673,0,6,3
674,0,3,6
675,4,-2,4
676,-2,4,4
677,4,4,-2
678,6,3,-1
679,3,6,-1
680,-1,3,6
681,6,-1,3
682,3,-1,6
683,-1,6,3
684,-2,5,3
685,5,3,-2
686,3,-2,5
687,5,-2,3
688,-2,3,5
689,3,5,-2
690,3,4,3
691,4,3,3
692,3,3,4
693,0,2,7
694,2,0,7
695,7,2,0
696,2,7,0
697,0,7,2
698,7,0,2
699,2,-2,6
700,-2,2,6
701,6,-2,2
702,2,6,-2
703,-2,6,2
704,6,2,-2
705,7,-1,2
706,7,2,-1
707,-1,2,7
708,2,-1,7
709,-1,7,2
710,2,7,-1
711,1,-3,4
712,-3,1,4
713,-3,4,1
714,4,-3,1
715,1,4,-3
716,4,1,-3
717,4,2,4
718,2,4,4
719,4,4,2
720,5,3,2
721,2,3,5
722,3,2,5
723,3,5,2
724,2,5,3
725,5,2,3
726,2,2,6
727,2,6,2
728,6,2,2
729,8,0,1
730,8,1,0
731,0,8,1
732,1,0,8
733,1,8,0
734,0,1,8
735,1,5,4
736,5,1,4
737,5,4,1
738,4,1,5
739,1,4,5
740,4,5,1
741,7,1,-2
742,1,7,-2
743,-2,7,1
744,-2,1,7
745,1,-2,7
746,7,-2,1
747,8,-1,1
748,1,-1,8
749,-1,1,8
750,-1,8,1
751,8,1,-1
752,1,8,-1
753,-3,-3,0
754,-3,0,-3
755,0,-3,-3
756,1,6,3
757,3,6,1
758,1,3,6
759,6,3,1
760,6,1,3
761,3,1,6
762,-1,-3,-3
763,-3,-1,-3
764,-3,-3,-1
765,1,2,7
766,2,1,7
767,2,7,1
768,1,7,2
769,7,1,2
770,7,2,1
771,5,-3,0
772,0,5,-3
773,5,0,-3
774,-3,5,0
775,-3,0,5
776,0,-3,5
777,5,-1,-3
778,-3,-1,5
779,-1,-3,5
780,-1,5,-3
781,5,-3,-1
782,-3,5,-1
783,-3,4,-2
784,4,-2,-3
